Trust,TrustInScience,TrustInEdScience,Topic,Source,Consistency,lfdn,weight0
3,4,3,Grades,Scientific Study,Inconsistent,2,1.209
2,4,3,Retention,Episodic Evidence,Inconsistent,2,1.209
3,4,2,Signalling,Episodic Evidence,Consistent,4,1.101
4,4,2,Grades,Scientific Study,Inconsistent,4,1.101
4,3,3,Signalling,Episodic Evidence,Consistent,6,1.101
4,3,3,Retention,Scientific Study,Consistent,6,1.101
2,4,4,Retention,Scientific Study,Inconsistent,7,0.973
NA,4,4,Integration,Episodic Evidence,Inconsistent,7,0.973
3,5,4,Retention,Scientific Study,Inconsistent,8,1.101
4,5,4,Integration,Episodic Evidence,Inconsistent,8,1.101
3,3,3,Retention,Episodic Evidence,Consistent,9,0.922
3,3,3,Signalling,Scientific Study,Consistent,9,0.922
1,3,2,Grades,Scientific Study,Consistent,10,0.421
1,3,2,Signalling,Episodic Evidence,Inconsistent,10,0.421
NA,3,3,Grades,Episodic Evidence,Consistent,11,1.209
3,3,3,Signalling,Scientific Study,Inconsistent,11,1.209
1,3,2,Grades,Episodic Evidence,Inconsistent,14,0.842
3,3,2,Signalling,Scientific Study,Consistent,14,0.842
4,4,3,Retention,Episodic Evidence,Consistent,15,1.101
1,4,3,Signalling,Scientific Study,Consistent,15,1.101
2,4,4,Grades,Scientific Study,Inconsistent,16,0.782
4,4,4,Signalling,Episodic Evidence,Consistent,16,0.782
3,4,3,Signalling,Scientific Study,Inconsistent,21,1.101
1,4,3,Grades,Episodic Evidence,Consistent,21,1.101
NA,5,4,Grades,Episodic Evidence,Consistent,22,1.143
4,5,4,Integration,Scientific Study,Inconsistent,22,1.143
3,4,3,Integration,Scientific Study,Inconsistent,23,0.55
3,4,3,Retention,Episodic Evidence,Inconsistent,23,0.55
3,4,3,Grades,Scientific Study,Inconsistent,24,0.782
3,4,3,Retention,Episodic Evidence,Inconsistent,24,0.782
1,4,4,Grades,Episodic Evidence,Inconsistent,25,0.804
NA,4,4,Signalling,Scientific Study,Consistent,25,0.804
2,3,3,Integration,Scientific Study,Inconsistent,26,0.874
5,3,3,Retention,Episodic Evidence,Inconsistent,26,0.874
2,4,4,Signalling,Scientific Study,Inconsistent,28,0.544
3,4,4,Retention,Episodic Evidence,Inconsistent,28,0.544
4,1,1,Integration,Scientific Study,Consistent,29,0.544
1,1,1,Retention,Episodic Evidence,Consistent,29,0.544
4,4,4,Retention,Episodic Evidence,Consistent,30,0.743
4,4,4,Signalling,Scientific Study,Consistent,30,0.743
3,4,3,Signalling,Episodic Evidence,Inconsistent,31,0.851
3,4,3,Grades,Scientific Study,Consistent,31,0.851
4,4,3,Retention,Scientific Study,Consistent,33,2.176
3,4,3,Signalling,Episodic Evidence,Consistent,33,2.176
1,4,3,Grades,Episodic Evidence,Consistent,34,0.973
NA,4,3,Signalling,Scientific Study,Inconsistent,34,0.973
1,4,3,Grades,Episodic Evidence,Consistent,35,1.16
4,4,3,Retention,Scientific Study,Consistent,35,1.16
2,4,4,Grades,Episodic Evidence,Inconsistent,37,0.887
3,4,4,Retention,Scientific Study,Inconsistent,37,0.887
4,4,4,Grades,Scientific Study,Consistent,38,1.205
4,4,4,Retention,Episodic Evidence,Consistent,38,1.205
4,4,3,Integration,Scientific Study,Consistent,39,1.16
3,4,3,Grades,Episodic Evidence,Inconsistent,39,1.16
NA,4,4,Grades,Scientific Study,Inconsistent,40,0.925
2,4,4,Retention,Episodic Evidence,Inconsistent,40,0.925
2,3,4,Integration,Episodic Evidence,Inconsistent,41,1.209
4,3,4,Grades,Scientific Study,Consistent,41,1.209
4,5,2,Integration,Scientific Study,Inconsistent,42,1.101
4,5,2,Signalling,Episodic Evidence,Consistent,42,1.101
2,4,4,Signalling,Scientific Study,Inconsistent,43,0.887
3,4,4,Integration,Episodic Evidence,Consistent,43,0.887
3,4,3,Grades,Scientific Study,Inconsistent,45,1.205
2,4,3,Integration,Episodic Evidence,Consistent,45,1.205
2,3,4,Integration,Episodic Evidence,Consistent,48,1.205
3,3,4,Grades,Scientific Study,Inconsistent,48,1.205
4,3,4,Integration,Scientific Study,Consistent,51,1.209
3,3,4,Retention,Episodic Evidence,Consistent,51,1.209
NA,4,4,Integration,Episodic Evidence,Consistent,52,0.922
